customer_id;location_id;distance_km
1;1;0,6
1;2;16,59
1;3;18,52
2;1;0,59
2;2;17,02
2;3;18,88
3;1;0,76
3;2;17,17
3;3;19,5
4;1;0,16
4;2;17,09
4;3;19,12
5;1;0,61
5;2;17,57
5;3;19,63
6;1;0,72
6;2;16,71
6;3;19,05
7;1;1,13
7;2;16,29
7;3;18,75
8;1;1,31
8;2;17,68
8;3;20,1
9;1;1,07
9;2;17,79
9;3;20,06
10;1;0,83
10;2;16,85
10;3;19,24
11;1;1,0
11;2;16,46
11;3;18,26
12;1;0,34
12;2;16,86
12;3;18,83
13;1;2,33
13;2;16,15
13;3;17,47
14;1;0,71
14;2;16,25
14;3;18,36
15;1;0,95
15;2;16,19
15;3;18,13
16;1;0,39
16;2;17,16
16;3;19,11
17;1;0,78
17;2;16,49
17;3;18,37
18;1;1,46
18;2;17,1
18;3;18,64
19;1;0,52
19;2;16,44
19;3;18,55
20;1;0,94
20;2;17,46
20;3;19,22
21;1;0,22
21;2;16,94
21;3;19,11
22;1;0,98
22;2;17,28
22;3;19,0
23;1;1,51
23;2;16,75
23;3;18,29
24;1;1,46
24;2;17,77
24;3;20,23
25;1;0,7
25;2;17,07
25;3;19,39
26;1;0,73
26;2;17,33
26;3;19,16
27;1;0,84
27;2;16,74
27;3;19,13
28;1;0,77
28;2;17,52
28;3;19,76
29;1;0,65
29;2;16,5
29;3;18,45
30;1;0,47
30;2;16,6
30;3;18,82
31;1;0,91
31;2;17,39
31;3;19,73
32;1;0,66
32;2;17,61
32;3;19,61
33;1;0,2
33;2;17,1
33;3;19,23
34;1;0,71
34;2;16,25
34;3;18,41
35;1;0,89
35;2;17,85
35;3;19,9
36;1;1,68
36;2;16,33
36;3;19,02
37;1;1,51
37;2;16,76
37;3;19,39
38;1;0,0
38;2;16,96
38;3;19,05
39;1;0,46
39;2;17,33
39;3;19,49
40;1;1,02
40;2;16,07
40;3;18,03
41;1;0,9
41;2;17,5
41;3;19,81
42;1;0,66
42;2;16,4
42;3;18,4
43;1;1,35
43;2;16,78
43;3;18,38
44;1;1,71
44;2;17,45
44;3;18,9
45;1;0,35
45;2;16,67
45;3;18,7
46;1;0,81
46;2;17,34
46;3;19,14
47;1;0,65
47;2;17,59
47;3;19,56
48;1;1,88
48;2;16,65
48;3;18,06
49;1;0,68
49;2;16,35
49;3;18,58
50;1;0,05
50;2;16,99
50;3;19,06
51;1;0,99
51;2;17,59
51;3;19,9
52;1;1,03
52;2;17,79
52;3;19,6
53;1;1,26
53;2;17,23
53;3;18,84
54;1;0,59
54;2;17,45
54;3;19,62
55;1;1,31
55;2;16,36
55;3;18,05
56;1;0,37
56;2;17,21
56;3;19,18
57;1;0,17
57;2;17,11
57;3;19,21
58;1;1,42
58;2;17,04
58;3;18,59
59;1;1,0
59;2;17,97
59;3;20,0
60;1;1,18
60;2;17,41
60;3;19,06
61;1;0,33
61;2;16,66
61;3;18,82
62;1;0,31
62;2;17,27
62;3;19,32
63;1;0,8
63;2;16,17
63;3;18,26
64;1;0,64
64;2;17,3
64;3;19,16
65;1;0,5
65;2;17,45
65;3;19,54
66;1;1,26
66;2;17,03
66;3;18,64
67;1;0,5
67;2;16,92
67;3;19,19
68;1;0,59
68;2;17,41
68;3;19,32
69;1;1,05
69;2;16,09
69;3;18,02
70;1;0,93
70;2;16,09
70;3;18,12
71;1;0,62
71;2;16,42
71;3;18,43
72;1;1,76
72;2;16,72
72;3;18,17
73;1;0,38
73;2;17,02
73;3;19,24
74;1;0,71
74;2;16,91
74;3;19,25
75;1;1,79
75;2;17,38
75;3;18,79
76;1;1,79
76;2;16,96
76;3;18,38
77;1;0,59
77;2;17,55
77;3;19,62
78;1;0,83
78;2;16,21
78;3;18,22
79;1;0,97
79;2;17,64
79;3;19,43
80;1;1,22
80;2;16,62
80;3;19,15
81;1;0,35
81;2;16,85
81;3;18,82
82;1;1,01
82;2;16,65
82;3;19,11
83;1;0,03
83;2;16,93
83;3;19,03
84;1;0,63
84;2;17,36
84;3;19,59
85;1;1,52
85;2;16,85
85;3;19,48
86;1;1,46
86;2;16,94
86;3;18,49
87;1;0,71
87;2;17,37
87;3;19,63
88;1;1,07
88;2;16,05
88;3;18,4
89;1;0,79
89;2;17,19
89;3;19,53
90;1;0,93
90;2;16,56
90;3;18,97
91;1;1,08
91;2;17,73
91;3;19,49
92;1;0,73
92;2;17,55
92;3;19,75
93;1;0,05
93;2;16,96
93;3;19,02
94;1;0,88
94;2;16,66
94;3;19,06
95;1;1,78
95;2;16,77
95;3;18,21
96;1;0,65
96;2;17,34
96;3;19,2
97;1;0,77
97;2;17,01
97;3;18,81
98;1;1,34
98;2;17,48
98;3;19,08
99;1;1,28
99;2;16,74
99;3;18,37
100;1;0,9
100;2;17,22
100;3;19,6
101;1;1,09
101;2;18,05
101;3;20,01
102;1;0,58
102;2;17,3
102;3;19,19
103;1;0,99
103;2;15,99
103;3;18,22
104;1;1,04
104;2;17,82
104;3;19,64
105;1;0,82
105;2;16,58
105;3;18,42
106;1;0,48
106;2;16,89
106;3;18,8
107;1;0,92
107;2;16,61
107;3;18,4
108;1;0,9
108;2;16,81
108;3;19,23
109;1;1,69
109;2;16,79
109;3;18,26
110;1;0,65
110;2;17,4
110;3;19,28
111;1;1,47
111;2;17,39
111;3;19,94
112;1;1,1
112;2;17,12
112;3;18,79
113;1;0,08
113;2;17,03
113;3;19,13
114;1;0,14
114;2;16,99
114;3;19,12
115;1;0,5
115;2;16,48
115;3;18,54
116;1;0,15
116;2;17,03
116;3;19,16
117;1;0,32
117;2;16,75
117;3;18,77
118;1;0,55
118;2;17,24
118;3;19,48
119;1;1,12
119;2;16,96
119;3;18,63
120;1;1,22
120;2;18,17
120;3;20,12
121;1;1,46
121;2;17,96
121;3;20,36
122;1;1,05
122;2;16,88
122;3;19,35
123;1;1,54
123;2;17,18
123;3;19,79
124;1;0,0
124;2;16,96
124;3;19,05
125;1;1,74
125;2;16,47
125;3;19,19
126;1;1,28
126;2;18,1
126;3;20,32
127;1;0,2
127;2;17,05
127;3;19,19
128;1;1,41
128;2;16,15
128;3;17,86
129;1;0,87
129;2;17,1
129;3;18,86
130;1;0,97
130;2;16,76
130;3;19,2
131;1;0,53
131;2;16,65
131;3;18,6
132;1;0,94
132;2;17,27
132;3;19,65
133;1;0,3
133;2;16,82
133;3;18,82
134;1;0,93
