customer_id,age,region,tenure_months,gender,email_opt_in,loyalty_points,loyalty_tier_encoded,total_orders,total_spent,avg_order_value,median_order_value,max_order_value,discount_rate_mean,pct_orders_discounted,recency_days,days_since_first_order,orders_last_3m,orders_last_1m,distinct_products,category_diversity,category_share_electronics,category_share_apparel,category_share_grocery,category_share_home,returns_count,returns_rate,complaint_count,satisfaction_score,email_open_rate,email_click_rate,website_sessions_3m,app_sessions_3m,avg_delivery_days,on_time_rate,future_3m_spend,churn_90d
1,31,West,28,F,1,0,0,0,0.0,67.14,53.64,102.76,0.37,0.419,132,836,0,0,5,2,0.24,0.383,0.277,0.1,0,0.0,1,8.54,0.306,0.029,0,2,2.43,1.0,46.23,1
2,31,West,15,M,1,151,0,0,0.0,,66.95,90.96,0.453,0.452,175,439,0,0,3,1,0.382,0.309,0.124,0.185,4,1.0,3,2.06,0.219,0.041,3,0,4.38,0.538,0.0,0
3,57,South,32,F,1,66,1,3,219.87,72.6,83.85,99.38,0.301,0.381,135,969,0,0,5,1,0.304,0.213,0.418,0.065,3,1.0,1,6.6,0.32,0.039,0,0,2.9,0.709,19.66,0
4,62,South,17,F,1,327,1,5,419.51,76.74,77.0,117.15,0.323,0.415,89,507,3,0,10,1,0.023,0.44,0.168,0.369,2,0.4,1,,0.266,0.0,3,0,4.15,0.869,,1
5,28,East,33,F,1,0,0,0,0.0,35.13,48.42,88.04,0.447,0.555,111,990,3,0,6,1,0.217,0.168,0.343,0.272,1,1.0,2,5.99,0.493,0.084,0,3,2.34,0.801,,1
6,31,North,21,F,1,130,1,2,197.59,96.48,90.74,152.74,0.503,0.58,116,621,1,0,5,1,0.224,0.334,0.187,0.255,1,0.5,1,7.73,0.564,0.284,4,4,3.31,0.821,55.08,0
7,53,East,3,F,0,80,0,3,175.19,63.89,70.18,76.66,0.219,0.373,108,100,1,0,9,1,0.326,0.312,0.295,0.067,1,0.333,2,,,,0,1,3.5,0.793,61.26,0
8,46,West,12,F,1,0,1,0,0.0,72.47,73.82,113.5,0.448,0.506,194,366,0,0,9,3,0.27,0.191,0.447,0.092,3,1.0,2,4.74,0.245,0.0,1,0,3.85,0.774,0.0,1
9,48,South,19,F,1,76,1,3,146.84,47.51,57.87,102.99,0.315,0.375,79,565,3,1,8,1,0.407,0.148,0.107,0.337,1,0.333,0,7.09,0.589,0.222,0,1,4.48,0.688,44.01,0
10,50,North,40,M,1,0,1,1,80.82,82.3,80.52,104.84,0.407,0.518,144,1213,0,0,7,1,0.353,0.213,0.217,0.217,2,1.0,2,5.18,0.411,0.0,2,2,4.85,0.705,6.33,1
11,37,North,35,F,1,0,1,0,0.0,32.19,31.17,108.2,0.305,0.435,114,1044,1,0,2,1,0.385,0.071,0.29,0.254,3,1.0,2,5.83,0.415,0.089,2,0,3.67,0.608,0.0,0
12,43,East,43,F,1,95,0,0,0.0,77.04,86.78,107.15,0.551,0.671,130,1305,1,0,7,3,0.416,0.187,0.132,0.265,2,1.0,0,7.31,0.389,0.186,0,3,2.34,0.848,0.0,0
13,43,North,44,F,1,0,2,1,59.96,63.96,47.24,124.36,0.41,0.456,87,1315,0,0,5,1,0.426,0.09,0.385,0.1,2,1.0,2,4.53,0.433,0.151,0,0,4.79,0.687,5.9,0
14,29,South,18,M,1,24,0,0,0.0,23.9,22.76,77.73,0.593,0.681,151,527,1,0,4,1,0.42,0.252,0.236,0.091,0,,0,9.08,,0.233,4,2,2.39,0.828,0.0,1
15,43,South,22,M,1,41,0,0,0.0,23.2,9.91,49.44,0.406,0.509,113,652,0,0,7,1,0.378,0.332,0.21,0.08,1,1.0,1,6.73,0.622,0.164,0,2,2.76,0.695,0.0,1
16,54,North,19,O,1,0,0,0,0.0,35.56,35.32,75.88,0.496,0.55,139,572,0,0,4,1,0.042,0.656,0.184,0.118,3,1.0,1,4.99,0.33,0.015,0,2,3.96,0.706,0.0,0
17,35,South,16,M,0,293,1,0,0.0,45.11,41.74,112.39,0.383,0.391,60,478,4,3,2,3,0.152,0.269,0.427,0.152,1,1.0,1,7.26,,,5,9,3.33,0.878,0.0,0
18,41,South,2,M,1,0,1,0,0.0,,82.85,107.29,0.395,0.395,91,57,2,0,8,2,0.26,0.473,0.126,0.142,1,1.0,2,4.26,0.48,0.184,3,4,3.41,0.666,0.0,1
19,42,East,24,F,1,0,0,1,15.96,15.28,19.01,58.82,0.318,0.387,134,715,0,0,6,2,0.205,0.286,0.229,0.281,3,1.0,2,,0.536,0.226,0,0,2.96,0.8,0.0,1
20,36,North,9,F,1,88,0,0,0.0,25.34,23.05,35.23,0.6,0.694,131,257,3,2,2,2,0.295,0.395,0.033,0.276,2,1.0,2,5.75,0.651,0.254,0,5,2.83,0.717,0.0,1
21,48,North,24,M,0,211,2,3,341.14,112.99,105.29,160.18,0.474,0.501,111,708,5,4,6,1,0.231,0.344,0.207,0.218,2,0.667,1,6.0,,,4,1,4.44,0.631,67.97,0
22,31,West,49,O,1,154,1,1,53.99,56.12,56.75,88.03,0.22,0.232,110,1482,0,0,6,2,0.174,0.335,0.263,0.228,1,1.0,1,6.83,0.558,0.158,1,0,1.0,0.806,0.0,0
23,55,East,18,M,1,444,2,5,356.55,65.23,75.67,115.7,0.399,0.424,13,537,5,1,4,1,0.324,0.194,0.317,0.165,1,0.2,0,10.0,0.821,0.42,6,7,3.29,0.872,123.17,0
24,47,East,26,M,1,0,0,0,0.0,11.01,5.0,34.12,0.404,0.461,153,790,1,0,4,1,0.203,0.241,0.383,0.172,0,0.0,0,8.85,,0.031,0,0,2.02,0.914,20.88,1
25,28,North,35,F,1,52,1,0,0.0,29.97,17.94,76.36,0.355,0.444,152,1046,1,0,4,2,0.255,0.349,0.176,0.221,2,1.0,0,6.33,0.394,0.172,1,1,3.04,0.864,0.0,0
26,60,North,27,F,1,0,1,1,80.75,77.53,62.79,110.53,0.549,0.618,67,821,2,1,0,1,0.395,0.207,0.274,0.124,1,1.0,2,,0.463,0.143,2,0,3.67,0.928,0.0,1
27,42,East,28,F,1,274,0,0,0.0,30.0,17.72,42.76,0.432,0.483,98,825,3,2,10,2,0.254,0.285,0.252,0.21,2,1.0,3,,0.526,0.284,1,7,4.49,0.592,0.0,1
