cancellation_id;order_date;customer_id;segment_id;location_id;arrival_time;finish_cooking;kitchen_time_minutes;wait_time_minutes;max_wait_time_minutes
1;2024-01-01;5295;5;3;2024-01-01 10:53:00;;;132,87;45,0
2;2024-01-01;5305;5;3;2024-01-01 10:15:00;;;170,87;45,0
3;2024-01-01;5312;5;3;2024-01-01 11:00:00;;;125,87;45,0
4;2024-01-01;5331;5;3;2024-01-01 11:46:00;;;90,18;45,0
5;2024-01-01;5334;5;3;2024-01-01 10:12:00;;;184,18;45,0
6;2024-01-01;5337;5;3;2024-01-01 11:26:00;;;110,18;45,0
7;2024-01-01;5356;5;3;2024-01-01 11:09:00;;;127,18;45,0
8;2024-01-02;5260;5;3;2024-01-02 11:01:00;2024-01-02 11:55:13;54,22;39,35;45,0
9;2024-01-02;5299;5;3;2024-01-02 10:54:00;;;61,83;45,0
10;2024-01-04;4963;5;1;2024-01-04 13:12:00;;;74,7;45,0
11;2024-01-04;4983;5;1;2024-01-04 12:27:00;;;119,7;45,0
12;2024-01-04;4987;5;1;2024-01-04 10:37:00;;;229,7;45,0
13;2024-01-04;5311;5;3;2024-01-04 12:08:00;2024-01-04 13:04:41;56,68;39,04;45,0
14;2024-01-04;5328;5;3;2024-01-04 10:52:00;;;115,04;45,0
15;2024-01-04;5330;5;3;2024-01-04 11:37:00;;;70,04;45,0
16;2024-01-04;5386;5;3;2024-01-04 12:20:00;;;47,06;45,0
17;2024-01-04;8061;6;3;2024-01-04 10:05:00;;;182,19;90,0
18;2024-01-05;3794;3;3;2024-01-05 10:41:00;2024-01-05 11:54:32;73,54;58,17;60,0
19;2024-01-05;4214;4;1;2024-01-05 10:50:00;;;93,94;60,0
20;2024-01-05;4747;4;3;2024-01-05 12:52:00;;;79,17;60,0
21;2024-01-05;5041;5;2;2024-01-05 10:33:00;;;146,99;45,0
22;2024-01-05;5042;5;2;2024-01-05 11:40:00;;;79,99;45,0
23;2024-01-05;5053;5;2;2024-01-05 11:45:00;;;74,99;45,0
24;2024-01-05;5126;5;2;2024-01-05 10:46:00;;;140,48;45,0
25;2024-01-05;5171;5;2;2024-01-05 12:03:00;;;63,48;45,0
26;2024-01-05;5184;5;2;2024-01-05 10:30:00;;;156,48;45,0
27;2024-01-05;5251;5;2;2024-01-05 11:55:00;;;71,48;45,0
28;2024-01-05;5270;5;3;2024-01-05 13:40:00;;;58,49;45,0
29;2024-01-05;5289;5;3;2024-01-05 12:28:00;;;130,49;45,0
30;2024-01-05;5615;6;2;2024-01-05 10:28:00;;;177,53;90,0
31;2024-01-05;6452;6;2;2024-01-05 10:52:00;;;290,32;90,0
32;2024-01-05;6494;6;2;2024-01-05 10:49:00;;;293,32;90,0
33;2024-01-05;7201;6;2;2024-01-05 12:43:00;;;179,32;90,0
34;2024-01-05;7282;6;2;2024-01-05 12:25:00;;;197,32;90,0
35;2024-01-05;7525;6;2;2024-01-05 13:42:00;;;120,32;90,0
36;2024-01-05;7994;6;3;2024-01-05 10:48:00;;;231,96;90,0
37;2024-01-06;1138;1;1;2024-01-06 10:37:00;2024-01-06 11:25:37;48,62;26,54;40,0
38;2024-01-06;1673;2;1;2024-01-06 11:22:00;;;164,36;45,0
39;2024-01-06;1768;2;1;2024-01-06 10:04:00;;;242,36;45,0
40;2024-01-06;3665;3;1;2024-01-06 11:45:00;;;141,36;60,0
41;2024-01-06;3730;3;1;2024-01-06 13:30:00;2024-01-06 14:31:48;61,82;50,78;60,0
42;2024-01-06;3931;4;1;2024-01-06 13:07:00;;;128,19;60,0
43;2024-01-06;3932;4;1;2024-01-06 13:23:00;;;112,19;60,0
44;2024-01-06;4012;4;1;2024-01-06 14:10:00;;;73,54;60,0
45;2024-01-06;4111;4;1;2024-01-06 14:30:00;;;77,31;60,0
46;2024-01-06;4398;4;2;2024-01-06 10:36:00;2024-01-06 11:48:20;72,34;54,4;60,0
47;2024-01-06;4432;4;3;2024-01-06 13:03:00;2024-01-06 14:05:00;62,0;48,6;60,0
48;2024-01-06;4599;4;3;2024-01-06 14:10:00;2024-01-06 15:20:33;70,56;55,65;60,0
49;2024-01-06;4698;4;3;2024-01-06 12:54:00;;;131,65;60,0
50;2024-01-06;4807;4;3;2024-01-06 12:33:00;;;223,4;60,0
51;2024-01-06;4815;4;3;2024-01-06 13:55:00;;;141,4;60,0
52;2024-01-06;4906;5;1;2024-01-06 11:14:00;;;309,42;45,0
53;2024-01-06;5303;5;3;2024-01-06 14:07:00;;;143,35;45,0
54;2024-01-06;5318;5;3;2024-01-06 12:47:00;;;223,35;45,0
55;2024-01-07;3664;3;1;2024-01-07 11:14:00;;;63,65;60,0
56;2024-01-07;3775;3;3;2024-01-07 11:04:00;2024-01-07 12:04:36;60,6;47,12;60,0
57;2024-01-07;4986;5;1;2024-01-07 12:05:00;;;56,17;45,0
58;2024-01-07;4987;5;1;2024-01-07 10:07:00;;;174,17;45,0
59;2024-01-07;5227;5;2;2024-01-07 11:48:00;;;60,04;45,0
60;2024-01-07;5274;5;3;2024-01-07 14:18:00;;;137,75;45,0
61;2024-01-07;5372;5;3;2024-01-07 13:45:00;;;192,56;45,0
62;2024-01-08;5188;5;2;2024-01-08 11:07:00;2024-01-08 11:58:27;51,45;40,27;45,0
63;2024-01-08;5252;5;2;2024-01-08 10:56:00;;;63,64;45,0
64;2024-01-08;7520;6;2;2024-01-08 10:58:00;;;166,35;90,0
65;2024-01-09;4227;4;1;2024-01-09 11:22:00;;;96,95;60,0
66;2024-01-09;4230;4;1;2024-01-09 11:36:00;;;82,95;60,0
67;2024-01-09;4809;4;3;2024-01-09 11:48:00;2024-01-09 12:54:24;66,4;50,19;60,0
68;2024-01-09;4988;5;1;2024-01-09 10:51:00;;;137,27;45,0
69;2024-01-09;6905;6;2;2024-01-09 10:08:00;;;145,31;90,0
70;2024-01-09;7574;6;2;2024-01-09 12:13:00;;;223,22;90,0
71;2024-01-09;7663;6;2;2024-01-09 12:52:00;;;184,22;90,0
72;2024-01-09;7690;6;2;2024-01-09 13:14:00;;;162,22;90,0
73;2024-01-09;7785;6;2;2024-01-09 11:24:00;;;277,02;90,0
74;2024-01-09;7804;6;2;2024-01-09 13:28:00;;;153,02;90,0
75;2024-01-10;4602;4;3;2024-01-10 10:36:00;;;103,21;60,0
76;2024-01-10;8232;6;3;2024-01-10 11:12:00;;;118,3;90,0
77;2024-01-11;5360;5;3;2024-01-11 10:49:00;;;48,41;45,0
78;2024-01-11;5387;5;3;2024-01-11 10:23:00;;;74,41;45,0
79;2024-01-12;3673;3;1;2024-01-12 10:00:00;;;80,43;60,0
80;2024-01-12;3768;3;3;2024-01-12 10:58:00;;;64,47;60,0
81;2024-01-12;3864;3;3;2024-01-12 11:36:00;;;90,1;60,0
82;2024-01-12;3885;3;3;2024-01-12 12:06:00;;;70,81;60,0
83;2024-01-12;4140;4;1;2024-01-12 10:04:00;;;199,07;60,0
84;2024-01-12;4764;4;3;2024-01-12 11:17:00;;;190,43;60,0
85;2024-01-12;4811;4;3;2024-01-12 12:31:00;;;117,95;60,0
86;2024-01-12;4868;4;3;2024-01-12 13:26:00;;;62,95;60,0
87;2024-01-12;4904;5;1;2024-01-12 12:19:00;;;143,56;45,0
88;2024-01-12;4980;5;1;2024-01-12 14:19:00;;;53,8;45,0
89;2024-01-12;5308;5;3;2024-01-12 12:37:00;;;130,59;45,0
90;2024-01-12;5312;5;3;2024-01-12 12:11:00;;;156,59;45,0
91;2024-01-12;5316;5;3;2024-01-12 14:11:00;2024-01-12 15:03:32;52,54;36,59;45,0
92;2024-01-12;5325;5;3;2024-01-12 13:18:00;;;153,33;45,0
93;2024-01-12;5346;5;3;2024-01-12 12:29:00;;;202,33;45,0
94;2024-01-12;5355;5;3;2024-01-12 13:33:00;;;138,33;45,0
95;2024-01-12;6676;6;2;2024-01-12 10:54:00;;;162,79;90,0
96;2024-01-12;6755;6;2;2024-01-12 10:09:00;;;207,79;90,0
97;2024-01-13;1773;2;1;2024-01-13 10:49:00;;;83,07;45,0
98;2024-01-13;3664;3;1;2024-01-13 11:14:00;2024-01-13 12:24:19;70,32;58,07;60,0
99;2024-01-13;3718;3;1;2024-01-13 10:50:00;;;82,07;60,0
100;2024-01-13;3945;4;1;2024-01-13 11:27:00;;;72,02;60,0
101;2024-01-13;4019;4;1;2024-01-13 11:51:00;2024-01-13 13:00:18;69,3;48,02;60,0
102;2024-01-13;4224;4;1;2024-01-13 11:12:00;;;105,34;60,0
103;2024-01-13;4975;5;1;2024-01-13 11:05:00;;;161,37;45,0
104;2024-01-13;5331;5;3;2024-01-13 11:07:00;;;117,08;45,0
105;2024-01-13;5336;5;3;2024-01-13 10:34:00;;;150,08;45,0
106;2024-01-13;5337;5;3;2024-01-13 11:02:00;;;122,08;45,0
107;2024-01-13;5355;5;3;2024-01-13 12:13:00;;;55,86;45,0
108;2024-01-14;3945;4;1;2024-01-14 10:09:00;;;157,11;60,0
109;2024-01-14;4105;4;1;2024-01-14 12:08:00;;;83,9;60,0
110;2024-01-14;4591;4;3;2024-01-14 10:45:00;2024-01-14 12:05:33;80,55;58,05;60,0
111;2024-01-14;4935;5;1;2024-01-14 10:45:00;;;177,33;45,0
112;2024-01-14;4954;5;1;2024-01-14 11:32:00;;;130,33;45,0
