order_id;customer_id;loyalty_balance_before;loyalty_balance_after;loyalty_balance_delta
1;14;12,0;12,0;0,0
2;72;17,0;32,0;15,0
3;82;35,0;35,0;0,0
4;143;32,0;62,0;30,0
5;163;2,0;17,0;15,0
6;221;25,0;40,0;15,0
7;246;19,0;34,0;15,0
8;250;33,0;33,0;0,0
9;297;32,0;32,0;0,0
10;307;7,0;37,0;30,0
11;310;20,0;35,0;15,0
12;336;46,0;61,0;15,0
13;380;10,0;25,0;15,0
14;385;18,0;18,0;0,0
15;499;23,0;38,0;15,0
16;529;30,0;30,0;0,0
17;590;24,0;24,0;0,0
18;596;35,0;50,0;15,0
19;615;1,0;16,0;15,0
20;668;43,0;43,0;0,0
21;683;50,0;50,0;0,0
22;687;45,0;45,0;0,0
23;740;21,0;21,0;0,0
24;771;41,0;56,0;15,0
25;817;36,0;36,0;0,0
26;870;10,0;10,0;0,0
27;921;34,0;34,0;0,0
28;934;24,0;39,0;15,0
29;962;21,0;66,0;45,0
30;1026;45,0;45,0;0,0
31;1076;13,0;43,0;30,0
32;1095;25,0;25,0;0,0
33;1141;49,0;64,0;15,0
34;1153;7,0;37,0;30,0
35;1168;14,0;44,0;30,0
36;1170;36,0;66,0;30,0
37;1175;26,0;41,0;15,0
38;1229;29,0;29,0;0,0
39;1266;34,0;44,0;10,0
40;1343;36,0;46,0;10,0
41;1464;7,0;17,0;10,0
42;1469;24,0;34,0;10,0
43;1476;28,0;38,0;10,0
44;1496;0,0;20,0;20,0
45;1519;9,0;14,0;5,0
46;1570;40,0;40,0;0,0
47;1627;35,0;35,0;0,0
48;1730;20,0;25,0;5,0
49;1913;33,0;38,0;5,0
50;1968;0,0;5,0;5,0
51;1981;2,0;2,0;0,0
52;2011;23,0;23,0;0,0
53;2087;27,0;32,0;5,0
54;2141;32,0;37,0;5,0
55;2148;18,0;18,0;0,0
56;2236;19,0;24,0;5,0
57;2248;29,0;29,0;0,0
58;2262;8,0;8,0;0,0
59;2302;49,0;54,0;5,0
60;2395;39,0;44,0;5,0
61;2497;24,0;24,0;0,0
62;2567;8,0;13,0;5,0
63;2570;3,0;3,0;0,0
64;2572;45,0;45,0;0,0
65;2628;11,0;11,0;0,0
66;2652;9,0;9,0;0,0
67;2656;12,0;17,0;5,0
68;2688;24,0;34,0;10,0
69;2840;1,0;6,0;5,0
70;2849;9,0;9,0;0,0
71;2871;19,0;24,0;5,0
72;2933;25,0;25,0;0,0
73;2993;43,0;58,0;15,0
74;3051;28,0;33,0;5,0
75;3266;29,0;34,0;5,0
76;3269;43,0;48,0;5,0
77;3287;10,0;15,0;5,0
78;3299;19,0;19,0;0,0
79;3305;4,0;9,0;5,0
80;3316;1,0;11,0;10,0
81;3350;5,0;5,0;0,0
82;3403;19,0;24,0;5,0
83;3406;35,0;35,0;0,0
84;3482;38,0;43,0;5,0
85;3568;31,0;31,0;0,0
86;3680;37,0;37,0;0,0
87;3684;47,0;47,0;0,0
88;3740;38,0;38,0;0,0
89;3754;14,0;14,0;0,0
90;3832;45,0;45,0;0,0
91;3848;7,0;7,0;0,0
92;3871;32,0;32,0;0,0
93;3909;10,0;10,0;0,0
94;3924;40,0;40,0;0,0
95;3949;32,0;42,0;10,0
96;3970;18,0;18,0;0,0
97;3973;17,0;27,0;10,0
98;4063;37,0;37,0;0,0
99;4132;3,0;3,0;0,0
100;4154;11,0;11,0;0,0
101;4186;25,0;35,0;10,0
102;4204;45,0;45,0;0,0
103;4206;15,0;15,0;0,0
104;4242;49,0;49,0;0,0
105;4248;19,0;29,0;10,0
106;4310;17,0;17,0;0,0
107;4353;21,0;21,0;0,0
108;4359;8,0;8,0;0,0
109;4470;14,0;14,0;0,0
110;4479;38,0;38,0;0,0
111;4620;28,0;28,0;0,0
112;4650;33,0;41,0;8,0
113;4658;21,0;29,0;8,0
114;4660;31,0;39,0;8,0
115;4668;25,0;25,0;0,0
116;4678;2,0;2,0;0,0
117;4697;45,0;45,0;0,0
118;4700;18,0;26,0;8,0
119;4750;11,0;27,0;16,0
120;4773;12,0;12,0;0,0
121;4784;8,0;8,0;0,0
122;4791;30,0;30,0;0,0
123;4804;33,0;41,0;8,0
124;4842;49,0;49,0;0,0
125;4859;33,0;33,0;0,0
126;4888;13,0;13,0;0,0
127;4925;44,0;44,0;0,0
128;4973;9,0;14,0;5,0
129;4980;5,0;10,0;5,0
130;5003;23,0;35,0;12,0
131;5020;21,0;21,0;0,0
132;5025;16,0;16,0;0,0
133;5033;9,0;15,0;6,0
134;5060;2,0;2,0;0,0
135;5096;21,0;27,0;6,0
136;5117;11,0;11,0;0,0
137;5122;50,0;56,0;6,0
138;5124;2,0;8,0;6,0
139;5135;21,0;21,0;0,0
